"amchagas",30806
"amchagas > Home",5567
"amchagas > Computer Vision and motion tracking software",3872
"amchagas > Signal Generators",2233
"amchagas > Open EEG",1022
"amchagas > Arduino",936
"amchagas > Raspberry Pi  ",924
"amchagas > Near-infrared spectroscopy",566
"amchagas > Neuroimaging databases",484
"amchagas > Open lab notebooks",480
"amchagas > OpenBCI",443
"amchagas > Open Syringe pump 2",439
"amchagas > Python, NumPy, SciPy & Matplotlib",403
"amchagas > Open Ephys - open-source electrophysiology",403
"amchagas > About",372
"amchagas > NeuroElectro",348
"amchagas > Cyclops driver R2",344
"amchagas > Open Hardware projects",342
"amchagas > Learning sources",341
"amchagas > Open source brain",324
"amchagas > Psychophysics toolboxes",323
"amchagas > Open Wetware",317
"amchagas > OpenHardwareExG",316
"amchagas > tDCS machine",311
"amchagas > Data repositories",303
"amchagas > Raspberry pi based",303
"amchagas > 3D printers",276
"amchagas > Other interesting projects",258
"amchagas > Human psychophysics using Arduino",256
"amchagas > Statistics",251
"amchagas > EEG MEG Toolbox - Fieldtrip",247
"amchagas > Intelligent hearing aid",242
"amchagas > Backyard brains - Neuroscience for everyone",233
"amchagas > Lab management software",223
"amchagas > Skinner box using a rasperry pi and python",204
"amchagas > Crowd funding",192
"amchagas > Pulse Pal",184
"amchagas > Red Pitaya",184
"amchagas > MobilECG",179
"amchagas > Open access journals",178
"amchagas > Scanning electron microscope",173
"amchagas > Articles related to Open Source Projects",173
"amchagas > Nose poke device for rats using arduino and 3d printed parts",155
"amchagas > Data sharing / Databases",154
"amchagas > SimpleCortex",151
"amchagas > NeuralEnsemble",150
"amchagas > Supercomputers",149
"amchagas > BrainBrowser",149
"amchagas > Operating systems",147
"amchagas > Parallela",130
"amchagas > Open science framework",127
"amchagas > Python record script posner test",126
"amchagas > Arduino script posner test",123
"amchagas > 10$ microscope using a smartphone",121
"amchagas > Open source picospritzer",121
"amchagas > Open Software",119
"amchagas > Open PCR",115
"amchagas > OpenStage",115
"amchagas > Stereo microscope - The Steve Richardson way.",115
"amchagas > GNU Octave",111
"amchagas > BPM Biosignal",107
"amchagas > Opening MCD files with python",106
"amchagas > Image, Office suites, and other general purpose software",106
"amchagas > Open syringe pump 1",102
"amchagas > Micro-Manager",99
"amchagas > Optogenetics",99
"amchagas > Neurons,Neurons,Neurons",94
"amchagas > IPipet",90
"amchagas > Open Hand Project",90
"amchagas > Boinc",85
"amchagas > Tensor Flow",82
"amchagas > Green Brain",81
"amchagas > Human electrophysiology",77
"amchagas > Open bionics",77
"amchagas > The Yale open hand project",74
"amchagas > The ""Beagles"",74
"amchagas > ImageJ",73
"amchagas > Mapple",73
"amchagas > NiBabel",64
"amchagas > Nipy",63
"amchagas > Data analysis and visualization",62
"amchagas > Tutorials",60
"amchagas > schematics Posner test",59
"amchagas > Fingertip laser sensor",59
"amchagas > DremelFuge",59
"amchagas > Open syringe pumps",58
"amchagas > Open prosthetics and robotics",57
"amchagas > GogoFuge",56
"amchagas > Programable water bath",56
"amchagas > Open source simulations and models",55
"amchagas > Fiji",55
"amchagas > Thermocyclers - PCR machines",53
"amchagas > Microcontrollers",51
"amchagas > Electrophysiology systems",47
"amchagas > Human Brain interactors",45
"amchagas > Genome RNAi",45
"amchagas > DIY PCR1",45
"amchagas > Addgene",43
"amchagas > RGB LED panel with beagle board",41
"amchagas > Open prosthesis and robotics",40
"amchagas > Big Neuron",40
"amchagas > LED Panels",39
"amchagas > Takktile",33
"amchagas > Microscopy hardware",31
"amchagas > OpenFuge",31
"amchagas > DIY PCR2",30
"amchagas > BMP biosignal",26
"amchagas > Blinkenschild",25
"amchagas > centrifuges",24
"amchagas > After a little spring sleep...",24
"amchagas > Open centrifuges, a hack everyday and optogenetics wiki!",19
"amchagas > OpenWorm",18
"amchagas > Tensor Flow, OME, e-health, Bitalino",18
"amchagas > CERN data goes open access",18
"amchagas > Wetware",17
"amchagas > Single board computers",14
"amchagas > Microscopy",12
"amchagas > Even more projects",12
"amchagas > 3rd IBRO school on insect neuroscience and Drosophila neurogenetics",10
"amchagas > motion tracking software",10
"amchagas > LED Panels",9
"amchagas > OME - Open Microscopy Environment",7
"amchagas > Christmas post with 5 projects to keep you busy!",7
"amchagas > December updates",6
"amchagas > Programable water bath and tutorials for electronics",4
"amchagas > Some new projects",3
"amchagas > Signal generators",3
"amchagas > New open wetware section",2
"amchagas > 3D printers!",2
"amchagas > January brings novelty!",1
"amchagas > Publicize and Psychophysics!",1
"amchagas > Microscopy special!",1
"travisjacobs",126
"travisjacobs > OpenWorm",126